k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
9,0,1,1,1
8,1,15,8,36
7,2,95,28,462
6,3,321,56,2646
5,4,607,70,6951
4,5,626,56,7770
3,6,319,28,3025
2,7,62,8,255
1,8,1,1,1
