k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
9,0,1,1,1
8,1,23,8,36
7,2,209,28,462
6,3,943,56,2646
5,4,2204,70,6951
4,5,2554,56,7770
3,6,1267,28,3025
2,7,179,8,255
1,8,1,1,1
