k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
8,0,1,1,1
7,1,13,7,28
6,2,66,21,266
5,3,165,35,1050
4,4,210,35,1701
3,5,126,21,966
2,6,28,7,127
1,7,1,1,1
