k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
7,0,1,1,1
6,1,6,6,21
5,2,15,15,140
4,3,20,20,350
3,4,15,15,301
2,5,6,6,63
1,6,1,1,1
