k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
9,0,1,1,1
8,1,26,8,36
7,2,263,28,462
6,3,1307,56,2646
5,4,3294,70,6951
4,5,3950,56,7770
3,6,1878,28,3025
2,7,218,8,255
1,8,1,1,1
