k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
10,0,1,1,1
9,1,19,9,45
8,2,159,36,750
7,3,740,84,5880
6,4,2012,126,22827
5,5,3154,126,42525
4,6,2699,84,34105
3,7,1129,36,9330
2,8,173,9,511
1,9,1,1,1
