k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
9,0,1,1,1
8,1,17,8,36
7,2,122,28,462
6,3,460,56,2646
5,4,947,70,6951
4,5,1030,56,7770
3,6,528,28,3025
2,7,93,8,255
1,8,1,1,1
