k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
10,0,1,1,1
9,1,22,9,45
8,2,195,36,750
7,3,907,84,5880
6,4,2408,126,22827
5,5,3704,126,42525
4,6,3176,84,34105
3,7,1346,36,9330
2,8,200,9,511
1,9,1,1,1
