k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
10,0,1,1,1
9,1,14,9,45
8,2,81,36,750
7,3,251,84,5880
6,4,452,126,22827
5,5,481,126,42525
4,6,295,84,34105
3,7,98,36,9330
2,8,16,9,511
1,9,1,1,1
