k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
10,0,1,1,1
9,1,22,9,45
8,2,191,36,750
7,3,841,84,5880
6,4,2036,126,22827
5,5,2768,126,42525
4,6,2064,84,34105
3,7,764,36,9330
2,8,104,9,511
1,9,1,1,1
