k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
8,0,1,1,1
7,1,17,7,28
6,2,116,21,266
5,3,387,35,1050
4,4,624,35,1701
3,5,431,21,966
2,6,87,7,127
1,7,1,1,1
