k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
8,0,1,1,1
7,1,15,7,28
6,2,97,21,266
5,3,318,35,1050
4,4,513,35,1701
3,5,362,21,966
2,6,77,7,127
1,7,1,1,1
