k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
8,0,1,1,1
7,1,10,7,28
6,2,45,21,266
5,3,111,35,1050
4,4,153,35,1701
3,5,107,21,966
2,6,28,7,127
1,7,1,1,1
