k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
10,0,1,1,1
9,1,30,9,45
8,2,375,36,750
7,3,2465,84,5880
6,4,8932,126,22827
5,5,17299,126,42525
4,6,16150,84,34105
3,7,5780,36,9330
2,8,451,9,511
1,9,1,1,1
