k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
8,0,1,1,1
7,1,20,7,28
6,2,158,21,266
5,3,586,35,1050
4,4,991,35,1701
3,5,654,21,966
2,6,111,7,127
1,7,1,1,1
