k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
8,0,1,1,1
7,1,16,7,28
6,2,100,21,266
5,3,305,35,1050
4,4,459,35,1701
3,5,305,21,966
2,6,66,7,127
1,7,1,1,1
