k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
8,0,1,1,1
7,1,12,7,28
6,2,58,21,266
5,3,146,35,1050
4,4,207,35,1701
3,5,146,21,966
2,6,39,7,127
1,7,1,1,1
