k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
9,0,1,1,1
8,1,24,8,36
7,2,232,28,462
6,3,1124,56,2646
5,4,2806,70,6951
4,5,3388,56,7770
3,6,1662,28,3025
2,7,208,8,255
1,8,1,1,1
