k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
9,0,1,1,1
8,1,14,8,36
7,2,79,28,462
6,3,231,56,2646
5,4,378,70,6951
4,5,348,56,7770
3,6,169,28,3025
2,7,35,8,255
1,8,1,1,1
