k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
10,0,1,1,1
9,1,20,9,45
8,2,170,36,750
7,3,800,84,5880
6,4,2267,126,22827
5,5,3837,126,42525
4,6,3535,84,34105
3,7,1470,36,9330
2,8,191,9,511
1,9,1,1,1
