k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
8,0,1,1,1
7,1,15,7,28
6,2,95,21,266
5,3,307,35,1050
4,4,497,35,1701
3,5,349,21,966
2,6,74,7,127
1,7,1,1,1
