k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
10,0,1,1,1
9,1,17,9,45
8,2,120,36,750
7,3,455,84,5880
6,4,1001,126,22827
5,5,1287,126,42525
4,6,924,84,34105
3,7,330,36,9330
2,8,45,9,511
1,9,1,1,1
