k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
8,0,1,1,1
7,1,12,7,28
6,2,58,21,266
5,3,136,35,1050
4,4,164,35,1701
3,5,99,21,966
2,6,25,7,127
1,7,1,1,1
