k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
8,0,1,1,1
7,1,14,7,28
6,2,79,21,266
5,3,231,35,1050
4,4,359,35,1701
3,5,255,21,966
2,6,58,7,127
1,7,1,1,1
