k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
9,0,1,1,1
8,1,19,8,36
7,2,151,28,462
6,3,628,56,2646
5,4,1432,70,6951
4,5,1708,56,7770
3,6,908,28,3025
2,7,143,8,255
1,8,1,1,1
