k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
10,0,1,1,1
9,1,9,9,45
8,2,36,36,750
7,3,84,84,5880
6,4,126,126,22827
5,5,126,126,42525
4,6,84,84,34105
3,7,36,36,9330
2,8,9,9,511
1,9,1,1,1
