k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
9,0,1,1,1
8,1,13,8,36
7,2,68,28,462
6,3,184,56,2646
5,4,280,70,6951
4,5,243,56,7770
3,6,114,28,3025
2,7,24,8,255
1,8,1,1,1
