k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
9,0,1,1,1
8,1,25,8,36
7,2,242,28,462
6,3,1146,56,2646
5,4,2772,70,6951
4,5,3263,56,7770
3,6,1589,28,3025
2,7,202,8,255
1,8,1,1,1
