k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
10,0,1,1,1
9,1,26,9,45
8,2,285,36,750
7,3,1657,84,5880
6,4,5393,126,22827
5,5,9655,126,42525
4,6,8827,84,34105
3,7,3459,36,9330
2,8,359,9,511
1,9,1,1,1
