k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
8,0,1,1,1
7,1,21,7,28
6,2,168,21,266
5,3,623,35,1050
4,4,1050,35,1701
3,5,686,21,966
2,6,113,7,127
1,7,1,1,1
