k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
10,0,1,1,1
9,1,23,9,45
8,2,211,36,750
7,3,995,84,5880
6,4,2613,126,22827
5,5,3874,126,42525
4,6,3120,84,34105
3,7,1212,36,9330
2,8,160,9,511
1,9,1,1,1
