k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
10,0,1,1,1
9,1,31,9,45
8,2,387,36,750
7,3,2450,84,5880
6,4,8314,126,22827
5,5,14940,126,42525
4,6,13137,84,34105
3,7,4610,36,9330
2,8,373,9,511
1,9,1,1,1
