k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
10,0,1,1,1
9,1,35,9,45
8,2,487,36,750
7,3,3423,84,5880
6,4,12804,126,22827
5,5,24724,126,42525
4,6,22115,84,34105
3,7,7222,36,9330
2,8,483,9,511
1,9,1,1,1
