k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
9,0,1,1,1
8,1,18,8,36
7,2,141,28,462
6,3,603,56,2646
5,4,1455,70,6951
4,5,1809,56,7770
3,6,986,28,3025
2,7,150,8,255
1,8,1,1,1
