k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
9,0,1,1,1
8,1,24,8,36
7,2,224,28,462
6,3,1035,56,2646
5,4,2493,70,6951
4,5,2993,56,7770
3,6,1513,28,3025
2,7,199,8,255
1,8,1,1,1
