k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
9,0,1,1,1
8,1,13,8,36
7,2,78,28,462
6,3,262,56,2646
5,4,512,70,6951
4,5,567,56,7770
3,6,321,28,3025
2,7,69,8,255
1,8,1,1,1
