k,level,num_k_partitions,num_k_partitions_lb,num_k_partitions_ub
9,0,1,1,1
8,1,21,8,36
7,2,182,28,462
6,3,803,56,2646
5,4,1882,70,6951
4,5,2241,56,7770
3,6,1155,28,3025
2,7,167,8,255
1,8,1,1,1
